datetime,avg cpu reading,max cpu reading,avg cpu VMTable,max cpu VMTable,p95_max_cpu,core count,memory (gb)
2016-11-16 00:00:00,1229569.3712429872,2223302.432966985,600026.7931285865,4041458.343089989,2139498.8163900105,126757,335558.0
2016-11-16 00:05:00,1211321.7086810155,2212393.245714982,600971.0424781176,4044737.921866988,2141562.774489012,126712,335395.25
2016-11-16 00:10:00,1206634.9139449815,2213056.745168996,600301.8132914258,4042657.438593989,2139025.42726801,126516,334882.25
2016-11-16 00:15:00,1190368.506855007,2187572.239358009,599839.4573804366,4042293.32586999,2138133.27425101,126402,334636.75
2016-11-16 00:20:00,1180991.6877060055,2183684.4859009846,598782.2398285032,4041869.430754987,2136907.8735650103,126265,334311.0
2016-11-16 00:25:00,1220288.9563070145,2284281.568408021,594247.6870764617,4029761.5568059874,2125049.4410850075,125493,332480.0
2016-11-16 00:30:00,1192507.8867380065,2200116.40977098,592691.9851029356,4027187.3881549854,2121502.9004400074,125321,331712.0
2016-11-16 00:35:00,1164390.1489359955,2173881.2610309706,592189.1315692678,4028743.8344459888,2121692.790131005,125271,331458.5
2016-11-16 00:40:00,1163261.8610120225,2171678.9228519807,591162.0819783129,4029309.341528987,2120560.745433007,125303,331516.5
2016-11-16 00:45:00,1164324.219565004,2182964.8430890106,589786.3447046479,4026773.335626984,2116207.2863730085,125232,331349.25
2016-11-16 00:50:00,1166436.3013700126,2179623.2962509966,589754.389874555,4029987.366473985,2117942.2624430084,125383,331946.5
2016-11-16 00:55:00,1190592.4298289944,2200703.217207998,588841.0691518891,4027380.1232409854,2115317.401263008,125303,331599.5
2016-11-16 01:00:00,1171241.8975610088,2176372.2093970045,588790.2594606531,4027675.993032986,2114931.7900770064,125337,331660.0
2016-11-16 01:05:00,1148830.6300590015,2148640.059295,586701.211170637,4020423.483240984,2107610.237987001,124725,330388.5
2016-11-16 01:10:00,1141471.5978769958,2138898.030496952,584693.6120108103,4016461.719777985,2103450.0674520032,124576,330046.75
2016-11-16 01:15:00,1136152.9615889871,2131909.8325660145,581860.4643004116,4010429.251439984,2096556.5618619977,124435,329711.0
2016-11-16 01:20:00,1128997.3019279924,2107371.5687710163,580812.9241164137,4009723.0126529834,2095762.5588099984,124475,329827.0
2016-11-16 01:25:00,1155790.7483980064,2184265.053344988,579614.3461268911,4007841.2088979855,2093365.5205499995,124518,330031.25
2016-11-16 01:30:00,1164683.3522129888,2173808.11349298,582808.8371381497,4025703.506175985,2107889.157513001,125065,331198.5
2016-11-16 01:35:00,1154649.0624310356,2165400.402247011,582496.2684482085,4034196.8177829855,2112586.299165003,125378,331741.25
2016-11-16 01:40:00,1137819.823279999,2129900.213565982,580547.9022242773,4032585.6050169854,2108712.854393,125325,331608.5
2016-11-16 01:45:00,1120422.1019319897,2095266.524158008,579469.9382028885,4030795.2657519863,2106191.821932001,125357,331916.5
2016-11-16 01:50:00,1117945.197616001,2089408.04775899,577747.9240927886,4028206.403537986,2103199.0160390027,125362,331842.25
2016-11-16 01:55:00,1129061.7695379818,2112406.664265982,575845.3907067837,4022744.757889986,2098047.84807,125136,331024.75
2016-11-16 02:00:00,1124319.3228630037,2088786.9746250191,573573.3559828198,4019001.473931986,2095059.5149729971,125241,331289.5
2016-11-16 02:05:00,1146013.9976839807,2130695.941866985,570854.7312761529,4009418.531000985,2086131.3627099972,125061,331233.5
2016-11-16 02:10:00,1141822.025774039,2119482.891520997,569699.112184143,4002817.6969679855,2079951.8823719968,124569,328859.5
2016-11-16 02:15:00,1108894.7525150008,2100313.8185059805,566518.3817472041,3989223.596082983,2067464.626086995,123916,325410.75
2016-11-16 02:20:00,1087880.8181230046,2055847.399649976,566046.1127818552,3992102.277631985,2068292.771343996,124463,327966.0
2016-11-16 02:25:00,1124973.9709219886,2152493.561010004,564995.0793682666,3994072.278234984,2068245.1796179968,124734,330031.25
2016-11-16 02:30:00,1124757.841782992,2109183.3701830213,567368.481334791,4012783.83524798,2084721.4267579997,125541,332026.5
2016-11-16 02:35:00,1116754.2032229942,2107531.1590360315,568076.4705012585,4021014.554648982,2092645.240114999,126009,332715.5
2016-11-16 02:40:00,1115290.889407016,2085769.0990590183,564000.1370059424,4003686.3240189855,2075471.0970249963,125114,331152.25
2016-11-16 02:45:00,1088367.392815996,2054346.9022920232,562759.9004788678,4000205.249767989,2071968.6328459976,125103,331047.0
2016-11-16 02:50:00,1078826.1949999942,2027302.401436016,562330.5807074973,3996320.653676989,2068505.5149129955,125002,330866.25
2016-11-16 02:55:00,1098975.3310169836,2076533.7909670176,562679.1670569174,3997201.740949988,2069531.0112049957,125108,331139.75
2016-11-16 03:00:00,1096470.7506190047,2050269.8409639867,559552.0589981879,3986580.823002987,2058988.6973839963,124906,330555.25
2016-11-16 03:05:00,1104377.789824019,2062090.6518779893,559226.3438966471,3985018.8337259865,2057426.433745996,124836,330345.75
2016-11-16 03:10:00,1105964.9044429965,2086636.61774002,557198.8358799301,3976430.015498988,2049935.799467996,124568,330054.75
2016-11-16 03:15:00,1093612.3384019893,2050126.877342004,555339.5105355681,3968786.063683986,2043907.5064259956,124211,328717.0
2016-11-16 03:20:00,1083965.6417320156,2033195.9538120013,553510.9967447197,3964036.514906984,2039359.7278519955,124242,329692.25
