datetime,avg cpu reading,max cpu reading,avg cpu VMTable,max cpu VMTable,p95_max_cpu,core count,memory (gb)
2016-11-16 00:05:00,-18247.662561971694,-10909.187252002768,944.2493495311355,3279.578776998911,2063.958099001553,-45.0,-162.75
2016-11-16 00:10:00,-4686.794736034004,663.4994540140033,-669.2291866918094,-2080.4832729990594,-2537.3472210019827,-196.0,-513.0
2016-11-16 00:15:00,-16266.407089974498,-25484.505810987204,-462.35591098922305,-364.1127239987254,-892.1530170002952,-114.0,-245.5
2016-11-16 00:20:00,-9376.819149001502,-3887.753457024228,-1057.2175519333687,-423.89511500298977,-1225.4006859995425,-137.0,-325.75
2016-11-16 00:25:00,39297.268601008924,100597.08250703616,-4534.552752041491,-12107.87394899968,-11858.432480002753,-772.0,-1831.0
2016-11-16 00:30:00,-27781.06956900796,-84165.15863704076,-1555.7019735261565,-2574.1686510019936,-3546.540645000059,-172.0,-768.0
2016-11-16 00:35:00,-28117.73780201096,-26235.148740009405,-502.85353366774507,1556.4462910033762,189.88969099754468,-50.0,-253.5
2016-11-16 00:40:00,-1128.2879239730537,-2202.338178989943,-1027.0495909549063,565.5070829982869,-1132.0446979980916,32.0,58.0
2016-11-16 00:45:00,1062.3585529816337,11285.920237029903,-1375.7372736650286,-2536.005902003031,-4353.459059998393,-71.0,-167.25
2016-11-16 00:50:00,2112.0818050084636,-3341.546838013921,-31.954830092843622,3214.0308470008895,1734.9760699998587,151.0,597.25
2016-11-16 00:55:00,24156.128458981868,21079.92095700139,-913.320722665987,-2607.2432329994626,-2624.861180000473,-80.0,-347.0
2016-11-16 01:00:00,-19350.532267985633,-24331.007810993586,-50.809691236005165,295.8697920003906,-385.6111860014498,34.0,60.5
2016-11-16 01:05:00,-22411.267502007307,-27732.15010200441,-2089.048290016013,-7252.509792001918,-7321.5520900054835,-612.0,-1271.5
2016-11-16 01:10:00,-7359.0321820057,-9742.028798047919,-2007.5991598267574,-3961.7634629989043,-4160.170534997713,-149.0,-341.75
2016-11-16 01:15:00,-5318.636288008653,-6988.197930937633,-2833.1477103986545,-6032.468338001054,-6893.505590005545,-141.0,-335.75
2016-11-16 01:20:00,-7155.659660994774,-24538.263794998173,-1047.5401839979459,-706.2387870005332,-794.0030519992579,40.0,116.0
2016-11-16 01:25:00,26793.446470014052,76893.48457397148,-1198.5779895226005,-1881.8037549979053,-2397.0382599988952,43.0,204.25
2016-11-16 01:30:00,8892.603814982343,-10456.939852007665,3194.491011258564,17862.297277999576,14523.636963001452,547.0,1167.25
2016-11-16 01:35:00,-10034.289781953208,-8407.711245968938,-312.56868994119577,8493.311607000418,4697.141652001999,313.0,542.75
2016-11-16 01:40:00,-16829.2391510366,-35500.18868102925,-1948.3662239311961,-1611.2127660000697,-3873.4447720032185,-53.0,-132.75
2016-11-16 01:45:00,-17397.721348009305,-34633.689407974016,-1077.9640213887906,-1790.3392649991438,-2521.0324609987438,32.0,308.0
2016-11-16 01:50:00,-2476.904315988766,-5858.476399017964,-1722.0141100998735,-2588.86221400043,-2992.8058929983526,5.0,-74.25
2016-11-16 01:55:00,11116.57192198094,22998.616506991908,-1902.5333860048559,-5461.6456479998305,-5151.167969002854,-226.0,-817.5
2016-11-16 02:00:00,-4742.446674978128,-23619.68964096275,-2272.0347239639377,-3743.283958000131,-2988.333097002702,105.0,264.75
2016-11-16 02:05:00,21694.67482097703,41908.96724196593,-2718.6247066669166,-9582.942931001075,-8928.152262999909,-180.0,-56.0
2016-11-16 02:10:00,-4191.97190994164,-11213.050345988013,-1155.6190920098452,-6600.834032999352,-6179.48033800046,-492.0,-2374.0
2016-11-16 02:15:00,-32927.27325903834,-19169.073015016504,-3180.7304369389312,-13594.100885002408,-12487.256285001757,-653.0,-3448.75
2016-11-16 02:20:00,-21013.934391996125,-44466.418856004486,-472.2689653489506,2878.6815490019508,828.1452570010442,547.0,2555.25
2016-11-16 02:25:00,37093.15279898397,96646.16136002797,-1051.033413588535,1970.0006029987708,-47.591725999256596,271.0,2065.25
2016-11-16 02:30:00,-216.1291389965918,-43310.190826982725,2373.401966524427,18711.55701299617,16476.247140002903,807.0,1995.25
2016-11-16 02:35:00,-8003.63855999778,-1652.2111469898373,707.9891664674506,8230.71940100193,7923.813356999308,468.0,689.0
2016-11-16 02:40:00,-1463.3138159781229,-21762.059977013152,-4076.3334953160957,-17328.230629996397,-17174.143090002704,-895.0,-1563.25
2016-11-16 02:45:00,-26923.496591020143,-31422.196766995126,-1240.236527074594,-3481.0742509965785,-3502.4641789987218,-11.0,-105.25
2016-11-16 02:50:00,-9541.197816001717,-27044.500856007216,-429.31977137050126,-3884.5960909998976,-3463.1179330020677,-101.0,-180.75
2016-11-16 02:55:00,20149.13601698936,49231.38953100168,348.58634942013305,881.0872729988769,1025.4962920001708,106.0,273.5
2016-11-16 03:00:00,-2504.5803979788907,-26263.950003030943,-3127.1080587295583,-10620.917947000824,-10542.313820999349,-202.0,-584.5
2016-11-16 03:05:00,7907.03920501424,11820.810914002592,-325.71510154078715,-1561.989277000539,-1562.2636380002368,-70.0,-209.5
2016-11-16 03:10:00,1587.1146189775318,24545.96586203063,-2027.5080167170381,-8588.818226998672,-7490.6342780001,-268.0,-291.0
2016-11-16 03:15:00,-12352.566041007172,-36509.74039801583,-1859.325344361947,-7643.951815001667,-6028.293042000383,-357.0,-1337.75
2016-11-16 03:20:00,-9646.696669973666,-16930.923530002823,-1828.513790848432,-4749.548777002376,-4547.778574000113,31.0,975.25
